chlorides,free sulfur dioxide,total sulfur dioxide,fixed acidity,volatile acidity,citric acid,density
0.102,13,32,10,0.48,0.24,1
0.078,1,28,9.1,0.22,0.24,0.999
0.077,6,33,9.9,0.63,0.24,0.9974
0.084,5,13,8.1,0.825,0.24,0.9972
0.066,5,35,12.9,0.35,0.49,1.0014
0.1,5,17,11.2,0.5,0.74,0.9996
0.101,20,47,9.2,0.59,0.24,0.9988
0.064,5,17,9.5,0.46,0.49,0.9988
0.07,5,20,9.3,0.715,0.24,0.9966
0.085,16,53,11.2,0.66,0.24,0.9993
0.075,6,15,14.3,0.31,0.74,1.0008
0.094,38,106,9.1,0.47,0.49,0.9982
0.078,10,28,7.5,0.55,0.24,0.9983
0.067,6,21,10.6,0.31,0.49,0.9987
0.079,27,69,12.4,0.35,0.49,0.9994
0.171,6,25,9,0.53,0.49,0.9975
0.074,9,25,6.8,0.51,0.01,0.9958
0.092,14,45,9.4,0.43,0.24,0.998
0.092,14,44,9.5,0.46,0.24,0.998
0.05,32,96,5,1.04,0.24,0.9934
0.095,10,23,15.5,0.645,0.49,1.00315
0.095,10,23,15.5,0.645,0.49,1.00315
0.118,10,17,10.9,0.53,0.49,1.0002
0.095,10,23,15.6,0.645,0.49,1.00315
0.118,10,17,10.9,0.53,0.49,1.0002
0.085,6,47,13,0.47,0.49,1.0021
0.075,5,19,12.7,0.6,0.49,0.9994
0.078,26,121,9,0.44,0.49,0.9978
0.094,41,110,9,0.54,0.49,0.9982
0.092,25,60,7.6,0.29,0.49,0.9971
0.085,6,47,13,0.47,0.49,1.0021
0.075,5,19,12.7,0.6,0.49,0.9994
0.226,5,15,8.7,0.7,0.24,0.9991
0.226,5,15,8.7,0.7,0.24,0.9991
0.25,5,20,9.8,0.5,0.49,0.999
0.095,19,42,6.2,0.36,0.24,0.9946
0.07,10,37,11.5,0.35,0.49,1.0003
0.095,19,42,6.2,0.36,0.24,0.9946
0.075,10,28,10.2,0.24,0.49,0.9978
0.07,14,47,10.5,0.59,0.49,0.9991
0.078,20,78,10.6,0.34,0.49,0.9992
0.079,28,46,12.3,0.27,0.49,0.9993
0.103,6,14,9.9,0.5,0.24,0.9978
0.083,18,111,8.8,0.44,0.49,0.9982
0.085,17,110,8.8,0.47,0.49,0.9982
0.063,18,40,10.6,0.31,0.49,0.9976
0.089,5,14,12.3,0.5,0.49,1.0002
0.089,5,14,12.3,0.5,0.49,1.0002
0.083,5,15,11.7,0.49,0.49,1
0.074,10,21,12,0.28,0.49,0.9976
0.093,54,80,11.8,0.33,0.49,1.0002
0.091,8,38,7.6,0.51,0.24,0.998
0.094,16,47,11.1,0.31,0.49,0.9986
0.108,18,102,7.3,0.73,0.24,0.9967
0.06,19,50,5,0.42,0.24,0.9917
0.059,5,13,10.2,0.29,0.49,0.9976
0.084,21,75,9,0.45,0.49,0.9987
0.07,23,149,6.6,0.39,0.49,0.9922
0.084,21,75,9,0.45,0.49,0.9987
0.094,9,43,9.9,0.49,0.58,1.0004
0.096,20,38,7.9,0.72,0.17,0.9978
0.086,30,109,8.9,0.595,0.41,0.9998
0.059,6,24,12.4,0.4,0.51,0.9994
0.071,5,18,11.9,0.58,0.58,0.998
0.078,5,30,8.5,0.585,0.18,0.9967
0.082,11,22,12.7,0.59,0.45,1
0.088,7,23,8.2,0.915,0.27,0.9962
0.071,12,35,13.2,0.46,0.52,1.0006
0.081,6,14,7.7,0.835,0,0.9975
0.071,12,35,13.2,0.46,0.52,1.0006
0.096,14,63,8.3,0.58,0.13,0.9984
0.085,6,24,8.3,0.6,0.13,0.9984
0.072,10,20,9.4,0.41,0.48,0.9973
0.092,26,52,8.8,0.48,0.41,0.9982
0.11,11,65,10.1,0.65,0.37,1.0026
0.075,15,39,6.3,0.36,0.19,0.9956
0.083,25,57,8.8,0.24,0.54,0.9983
0.081,5,16,13.2,0.38,0.55,1.0006
0.077,18,29,7.5,0.64,0,0.9965
0.058,10,29,8.2,0.39,0.38,0.9962
0.148,10,103,9.2,0.755,0.18,0.9969
0.079,28,71,9.6,0.6,0.5,0.9997
0.079,28,71,9.6,0.6,0.5,0.9997
0.079,14,28,11.5,0.31,0.51,0.9982
0.122,4,17,11.4,0.46,0.5,1.0006
0.088,6,16,11.3,0.37,0.41,0.9988
0.076,16,112,8.3,0.54,0.24,0.9976
0.078,14,104,8.2,0.56,0.23,0.9976
0.08,9,32,10,0.58,0.22,0.9974
0.077,21,45,7.9,0.51,0.25,0.9974
0.124,21,58,6.8,0.69,0,0.9997
0.124,21,58,6.8,0.69,0,0.9997
0.098,5,15,8.8,0.6,0.29,0.9988
0.098,5,15,8.8,0.6,0.29,0.9988
0.097,7,31,8.7,0.54,0.26,0.9976
0.111,20,84,7.6,0.685,0.23,0.9964
0.097,7,31,8.7,0.54,0.26,0.9976
0.105,5,19,10.4,0.28,0.54,0.9988
0.087,21,43,7.6,0.41,0.14,0.9964
0.105,11,86,10.1,0.935,0.22,1.001
0.073,46,102,7.9,0.35,0.21,0.9964
0.065,24,33,8.7,0.84,0,0.9954
0.086,30,147,9.6,0.88,0.28,0.9979
0.084,31,145,9.5,0.885,0.27,0.9978
0.143,7,23,7.7,0.915,0.12,0.9964
0.067,25,57,8.9,0.29,0.35,0.997
0.071,16,40,9.9,0.54,0.45,0.9991
0.071,21,68,9.5,0.59,0.44,0.9992
0.071,16,40,9.9,0.54,0.45,0.9991
0.071,21,68,9.5,0.59,0.44,0.9992
0.071,16,40,9.9,0.54,0.45,0.9991
0.115,5,11,7.8,0.64,0.1,0.9984
0.107,6,20,7.3,0.67,0.05,0.9972
0.07,5,14,8.3,0.845,0.01,0.9967
0.066,10,28,8.7,0.48,0.3,0.9964
0.068,24,148,6.7,0.42,0.27,0.9948
0.106,8,32,10.7,0.43,0.39,0.9986
0.104,35,155,9.8,0.88,0.25,1.001
0.096,22,71,15.9,0.36,0.65,0.9976
0.079,9,30,9.4,0.33,0.59,0.9976
0.074,7,29,8.6,0.47,0.47,0.9979
0.087,20,53,9.7,0.55,0.17,1.0004
0.106,8,32,10.7,0.43,0.39,0.9986
0.073,23,42,12,0.5,0.59,0.998
0.074,5,20,7.2,0.52,0.07,0.9973
0.096,5,13,7.1,0.84,0.02,0.997
0.074,5,20,7.2,0.52,0.07,0.9973
0.08,15,42,7.5,0.42,0.31,0.9978
0.076,9,27,7.2,0.57,0.06,0.9972
0.05,5,13,10.1,0.28,0.46,0.9974
0.092,15,54,12.1,0.4,0.52,1
0.084,25,48,9.4,0.59,0.14,0.9981
0.222,6,16,8.3,0.49,0.36,0.998
0.082,6,15,11.3,0.34,0.45,0.9988
0.059,15,31,10,0.73,0.43,0.9966
0.082,6,15,11.3,0.34,0.45,0.9988
0.083,30,45,6.9,0.4,0.24,0.9959
0.074,5,13,8.2,0.73,0.21,0.9968
0.079,32,151,9.8,1.24,0.34,0.998
0.074,5,13,8.2,0.73,0.21,0.9968
0.084,7,17,10.8,0.4,0.41,0.9984
0.064,12,31,9.3,0.41,0.39,0.9984
0.084,7,17,10.8,0.4,0.41,0.9984
0.084,12,31,8.6,0.8,0.11,0.9979
0.081,45,87,8.3,0.78,0.1,0.9983
0.06,20,49,10.8,0.26,0.45,0.9972
0.07,15,40,13.3,0.43,0.58,1.0004
0.094,16,29,8,0.45,0.23,0.9962
0.078,32,58,8.5,0.46,0.31,0.998
0.059,5,15,8.1,0.78,0.23,0.997
0.078,35,152,9.8,0.98,0.32,0.998
0.059,5,15,8.1,0.78,0.23,0.997
0.07,13,40,7.1,0.65,0.18,0.997
0.095,13,38,9.1,0.64,0.23,0.9998
0.039,4,9,7.7,0.66,0.04,0.9962
0.157,5,17,8.1,0.38,0.48,0.9976
0.097,5,14,7.4,1.185,0,0.9966
0.087,12,93,9.2,0.92,0.24,0.9998
0.422,16,62,8.6,0.49,0.51,0.9979
0.084,21,122,9,0.48,0.32,0.9984
0.084,24,125,9,0.47,0.31,0.9984
0.034,18,44,5.1,0.47,0.02,0.9921
0.066,8,25,7,0.65,0.02,0.9972
0.066,8,25,7,0.65,0.02,0.9972
0.087,18,72,9.4,0.615,0.28,1.0001
0.071,5,19,11.8,0.38,0.55,0.9986
0.076,26,88,10.6,1.02,0.43,0.9984
0.066,8,25,7,0.65,0.02,0.9972
0.067,9,23,7,0.64,0.02,0.997
0.073,22,84,7.5,0.38,0.48,0.9972
0.078,4,14,9.1,0.765,0.04,0.998
0.073,11,54,8.4,1.035,0.15,0.999
0.093,10,19,7,0.78,0.08,0.9956
0.077,16,37,7.4,0.49,0.19,0.9966
0.068,11,35,7.8,0.545,0.12,0.996
0.062,13,33,9.7,0.31,0.47,0.9983
0.08,21,84,10.6,1.025,0.43,0.9985
0.093,16,112,8.9,0.565,0.34,0.9998
0.084,13,33,8.7,0.69,0,0.9992
0.075,10,48,8,0.43,0.36,0.9976
0.078,21,77,9.9,0.74,0.28,0.998
0.069,13,34,7.2,0.49,0.18,0.9967
0.075,10,48,8,0.43,0.36,0.9976
0.079,12,49,7.6,0.46,0.11,0.9968
0.082,10,22,8.4,0.56,0.04,0.9976
0.086,17,45,7.1,0.66,0,0.9976
0.082,10,22,8.4,0.56,0.04,0.9976
0.094,35,106,8.9,0.48,0.24,0.9982
0.084,15,48,7.6,0.42,0.08,0.9968
0.053,36,127,7.1,0.31,0.3,0.9965
0.086,5,12,7.5,1.115,0.1,0.9958
0.077,5,13,9,0.66,0.17,0.9976
0.084,18,49,8.1,0.72,0.09,0.9994
0.067,4,11,6.4,0.57,0.02,0.997
0.067,4,11,6.4,0.57,0.02,0.997
0.071,27,58,6.4,0.865,0.03,0.995
0.387,12,37,9.5,0.55,0.66,0.9982
0.088,4,14,8.9,0.875,0.13,0.9994
0.092,10,19,7.3,0.835,0.03,0.9966
0.082,16,72,7,0.45,0.34,0.998
0.075,9,39,7.7,0.56,0.2,0.9987
0.112,11,22,7.7,0.965,0.1,0.9963
0.112,11,22,7.7,0.965,0.1,0.9963
0.093,19,58,8.2,0.59,0,1.0002
0.092,28,104,9,0.46,0.23,0.9983
0.088,19,38,9,0.69,0,0.999
0.075,12,16,8.3,0.76,0.29,0.9965
0.078,28,139,9.2,0.53,0.24,0.99788
0.065,9,18,6.5,0.615,0,0.9972
0.096,25,101,11.6,0.41,0.58,1.00024
0.095,21,101,11.1,0.39,0.54,1.0001
0.07,12,28,7.3,0.51,0.18,0.99768
0.08,12,57,8.2,0.34,0.38,0.9978
0.083,16,68,8.6,0.33,0.4,0.99782
0.071,12,31,7.2,0.5,0.18,0.99761
0.07,12,28,7.3,0.51,0.18,0.99768
0.089,17,40,8.3,0.65,0.1,0.99803
0.089,17,40,8.3,0.65,0.1,0.99803
0.097,24,66,7.6,0.54,0.13,0.99785
0.089,17,40,8.3,0.65,0.1,0.99803
0.415,14,32,7.8,0.48,0.68,0.99656
0.058,22,47,7.8,0.91,0.07,0.99525
0.057,15,33,6.3,0.98,0.01,0.99488
0.084,10,31,8.1,0.87,0,0.99656
0.084,10,31,8.1,0.87,0,0.99656
0.092,33,88,8.8,0.42,0.21,0.99823
0.075,9,104,9,0.58,0.25,0.99779
0.096,5,35,9.3,0.655,0.26,0.99738
0.069,8,19,8.8,0.7,0,0.99701
0.096,5,35,9.3,0.655,0.26,0.99738
0.093,11,44,9.1,0.68,0.11,0.99888
0.091,12,48,9.2,0.67,0.1,0.99888
0.089,12,74,8.8,0.59,0.18,0.99738
0.103,13,98,7.5,0.6,0.32,0.99938
0.082,24,94,7.1,0.59,0.02,0.99744
0.076,7,32,7.9,0.72,0.01,0.99668
0.082,24,94,7.1,0.59,0.02,0.99744
0.082,23,143,9.4,0.685,0.26,0.9978
0.082,23,144,9.5,0.57,0.27,0.99782
0.157,1,44,7.9,0.4,0.29,0.9973
0.157,2,45,7.9,0.4,0.3,0.99727
0.102,7,16,7.2,1,0,0.99586
0.243,5.5,48,6.9,0.765,0.18,0.99612
0.241,6,18,6.9,0.635,0.17,0.9961
0.079,7,34,8.3,0.43,0.3,0.99788
0.076,21,92,7.1,0.52,0.03,0.99745
0.19,12,45,7,0.57,0,0.99676
0.114,9,37,6.5,0.46,0.14,0.99732
0.081,26,96,9,0.82,0.05,0.99814
0.114,9,37,6.5,0.46,0.14,0.99732
0.077,20,85,7.1,0.59,0.01,0.99746
0.083,11,61,9.9,0.35,0.41,0.9982
0.083,11,61,9.9,0.35,0.41,0.9982
0.079,19,58,10,0.56,0.24,0.9991
0.079,19,58,10,0.56,0.24,0.9991
0.099,21,119,8.6,0.63,0.17,0.998
0.082,18,82,7.4,0.37,0.43,0.99708
0.084,25,130,8.8,0.64,0.17,0.99818
0.081,17,87,7.1,0.61,0.02,0.99745
0.055,7,13,7.7,0.6,0,0.99639
0.065,7,26,10.1,0.27,0.54,0.99531
0.132,7,60,10.8,0.89,0.3,0.99786
0.126,24,64,8.7,0.46,0.31,0.99746
0.038,21,42,9.3,0.37,0.44,0.99526
0.082,5,14,9.4,0.5,0.34,0.9987
0.082,5,14,9.4,0.5,0.34,0.9987
0.082,26,108,7.2,0.61,0.08,0.99641
0.068,8,17,8.6,0.55,0.09,0.99735
0.044,14,86,5.1,0.585,0,0.99264
0.114,14,46,7.7,0.56,0.08,0.9971
0.084,4,18,8.4,0.52,0.22,0.99682
0.052,4,10,8.2,0.28,0.4,0.99356
0.041,4,10,8.4,0.25,0.39,0.99386
0.052,4,10,8.2,0.28,0.4,0.99356
0.165,4,12,7.4,0.53,0.12,0.99702
0.07,4,15,7.6,0.48,0.31,0.99693
0.068,4,14,7.3,0.49,0.1,0.99562
0.072,7,24,12.9,0.5,0.55,1.00012
0.099,20,38,10.8,0.45,0.33,0.99818
0.102,4,7,6.9,0.39,0.24,0.99462
0.103,19,41,12.6,0.41,0.54,0.99939
0.099,20,38,10.8,0.45,0.33,0.99818
0.081,8,30,9.8,0.51,0.19,0.9984
0.084,19,27,10.8,0.29,0.42,0.99545
0.071,21,47,7.1,0.715,0,0.99632
0.097,9,59,9.1,0.66,0.15,0.99976
0.099,9,22,7,0.685,0,0.99606
0.048,16,42,4.9,0.42,0,0.99154
0.076,15,36,6.7,0.54,0.13,0.9973
0.076,15,36,6.7,0.54,0.13,0.9973
0.068,6,16,7.1,0.48,0.28,0.99682
0.076,15,37,7.1,0.46,0.14,0.99624
0.05,4,8,7.5,0.27,0.34,0.9951
0.076,15,37,7.1,0.46,0.14,0.99624
0.065,34,45,7.8,0.57,0.09,0.99417
0.071,16,24,5.9,0.61,0.08,0.99376
0.058,5,9,7.5,0.685,0.07,0.99632
0.071,16,24,5.9,0.61,0.08,0.99376
0.145,34,48,10.4,0.44,0.42,0.99832
0.147,36,51,11.6,0.47,0.44,0.99836
0.088,16,23,8.8,0.685,0.26,0.99694
0.066,27,55,7.6,0.665,0.1,0.99655
0.012,36,100,6.7,0.28,0.28,0.99064
0.012,36,100,6.7,0.28,0.28,0.99064
0.075,9,28,10.1,0.31,0.35,0.99672
0.092,13,26,6,0.5,0.04,0.99647
0.085,9,34,11.1,0.42,0.47,0.99736
0.115,21,31,6.6,0.66,0,0.99629
0.119,34,68,10.6,0.5,0.45,0.99708
0.088,9,92,7.1,0.685,0.35,0.9963
0.062,26,42,9.9,0.25,0.46,0.9959
0.081,14,31,6.4,0.64,0.21,0.99689
0.081,14,31,6.4,0.64,0.21,0.99689
0.078,12,39,7.4,0.68,0.16,0.9977
0.081,14,31,6.4,0.64,0.21,0.99689
0.08,12,32,6.4,0.63,0.21,0.99689
0.085,9,22,9.3,0.43,0.44,0.99708
0.085,9,22,9.3,0.43,0.44,0.99708
0.08,26,122,8,0.42,0.32,0.99801
0.08,41,55,9.3,0.36,0.39,0.99652
0.08,41,55,9.3,0.36,0.39,0.99652
0.071,10,14,7.6,0.735,0.02,0.99538
0.08,41,55,9.3,0.36,0.39,0.99652
0.073,16,47,8.2,0.26,0.34,0.99594
0.054,17,32,11.7,0.28,0.47,0.99686
0.074,15,24,6.8,0.56,0.22,0.99438
0.077,15,85,7.2,0.62,0.06,0.99746
0.039,15,88,5.8,1.01,0.66,0.99357
0.067,7,25,7.5,0.42,0.32,0.99628
0.078,17,84,7.2,0.62,0.06,0.99746
0.077,15,85,7.2,0.62,0.06,0.99746
0.077,16,86,7.2,0.635,0.07,0.99748
0.071,13,24,6.8,0.49,0.22,0.99438
0.072,13,22,6.9,0.51,0.23,0.99438
0.074,15,24,6.8,0.56,0.22,0.99438
0.08,27,43,7.6,0.63,0.03,0.99578
0.064,31,43,7.7,0.715,0.01,0.99371
0.086,36,46,6.9,0.56,0.03,0.99522
0.067,28,48,7.3,0.35,0.24,0.99576
0.067,6,10,9.1,0.21,0.37,0.99552
0.104,6,10,10.4,0.38,0.46,0.99664
0.109,7,16,8.8,0.31,0.4,0.99614
0.067,7,14,7.1,0.47,0,0.99517
0.064,31,43,7.7,0.715,0.01,0.99371
0.094,30,69,8.8,0.61,0.19,0.99787
0.076,18,88,7.2,0.6,0.04,0.99745
0.078,10,21,9.2,0.56,0.18,0.99576
0.068,30,35,7.6,0.715,0,0.99533
0.194,14,26,8.4,0.31,0.29,0.99536
0.076,18,88,7.2,0.6,0.04,0.99745
0.094,30,69,8.8,0.61,0.19,0.99787
0.086,9,30,8.9,0.75,0.14,0.99824
0.083,8,28,9,0.8,0.12,0.99836
0.066,29,56,10.7,0.52,0.38,0.99577
0.072,32,64,6.8,0.57,0,0.99491
0.112,23,99,10.7,0.9,0.34,1.00289
0.071,30,52,7.2,0.34,0.24,0.99576
0.078,16,86,7.2,0.66,0.03,0.99743
0.082,10,18,10.1,0.45,0.23,0.99774
0.078,16,86,7.2,0.66,0.03,0.99743
0.08,17,88,7.2,0.63,0.03,0.99745
0.08,27,43,7.1,0.59,0.01,0.9955
0.078,17,43,8.3,0.31,0.39,0.99444
0.08,27,43,7.1,0.59,0.01,0.9955
0.078,17,43,8.3,0.31,0.39,0.99444
0.084,6,11,8.3,1.02,0.02,0.99892
0.056,10,39,8.9,0.31,0.36,0.99562
0.08,16,33,7.4,0.635,0.1,0.99736
0.08,16,33,7.4,0.635,0.1,0.99736
0.06,11,18,6.8,0.59,0.06,0.9962
0.06,11,18,6.8,0.59,0.06,0.9962
0.081,15,115,9.2,0.58,0.2,0.998
0.084,12,78,7.2,0.54,0.27,0.9964
0.079,6,9,6.1,0.56,0,0.9948
0.078,34,61,7.4,0.52,0.13,0.99528
0.059,7,11,7.3,0.305,0.39,0.99331
0.132,3,11,9.3,0.38,0.48,0.99577
0.114,3,9,9.1,0.28,0.46,0.99901
0.065,4,8,10,0.46,0.44,0.99674
0.094,3,10,9.4,0.395,0.46,0.99639
0.059,7,11,7.3,0.305,0.39,0.99331
0.079,3,6,8.6,0.315,0.4,0.99512
0.161,7,62,5.3,0.715,0.19,0.99395
0.084,26,45,6.8,0.41,0.31,0.99824
0.081,32,79,8.4,0.36,0.32,0.9964
0.072,38,46,8.4,0.62,0.12,0.99504
0.091,10,23,9.6,0.41,0.37,0.99786
0.081,32,79,8.4,0.36,0.32,0.9964
0.072,38,46,8.4,0.62,0.12,0.99504
0.084,26,45,6.8,0.41,0.31,0.99824
0.055,14,28,8.6,0.47,0.27,0.99516
0.064,53,77,8.6,0.22,0.36,0.99604
0.061,52,73,9.4,0.24,0.33,0.99786
0.093,11,75,8.4,0.67,0.19,0.99736
0.055,14,28,8.6,0.47,0.27,0.99516
0.063,10,19,8.7,0.33,0.38,0.99468
0.08,8,25,6.6,0.61,0.01,0.99746
0.074,13,38,7.4,0.61,0.01,0.99748
0.078,29,66,7.6,0.4,0.29,0.9971
0.074,13,38,7.4,0.61,0.01,0.99748
0.08,8,25,6.6,0.61,0.01,0.99746
0.06,19,72,8.8,0.3,0.38,0.99543
0.06,19,72,8.8,0.3,0.38,0.99543
0.071,6,26,12,0.63,0.5,0.99791
0.068,23,42,7.2,0.38,0.38,0.99356
0.073,7,11,6.2,0.46,0.17,0.99425
0.074,13,25,9.6,0.33,0.52,0.99509
0.082,9,17,9.9,0.27,0.49,0.99484
0.092,13,52,10.1,0.43,0.4,0.99834
0.094,10,45,9.8,0.5,0.34,0.99864
0.09,11,24,8.3,0.3,0.49,0.99498
0.071,7,20,10.2,0.44,0.42,0.99566
0.092,11,24,10.2,0.44,0.58,0.99745
0.093,6,12,8.3,0.28,0.48,0.99408
0.075,10,21,8.9,0.12,0.45,0.99552
0.075,10,21,8.9,0.12,0.45,0.99552
0.075,10,21,8.9,0.12,0.45,0.99552
0.093,6,12,8.3,0.28,0.48,0.99408
0.058,6,10,8.2,0.31,0.4,0.99536
0.052,5,9,10.2,0.34,0.48,0.99458
0.082,6,11,7.6,0.43,0.4,0.99538
0.09,9,23,8.5,0.21,0.52,0.99648
0.111,5,10,9,0.36,0.52,0.99568
0.088,12,51,9.5,0.37,0.52,0.99613
0.12,25,36,6.4,0.57,0.12,0.99519
0.089,12,32,8,0.59,0.05,0.99735
0.058,18,38,8.5,0.47,0.27,0.99518
0.078,7,18,7.1,0.56,0.14,0.99592
0.115,6,16,6.6,0.57,0.02,0.99654
0.1,20,27,8.8,0.27,0.39,0.99546
0.058,18,38,8.5,0.47,0.27,0.99518
0.065,24,48,8.3,0.34,0.4,0.99554
0.103,6,10,9,0.38,0.41,0.99604
0.097,23,113,8.5,0.66,0.2,0.99733
0.068,29,46,9,0.4,0.43,0.9943
0.079,7,22,6.7,0.56,0.09,0.99669
0.066,6,10,10.4,0.26,0.48,0.99724
0.066,6,10,10.4,0.26,0.48,0.99724
0.104,6,13,10.1,0.38,0.5,0.99643
0.079,6,12,8.5,0.34,0.44,0.99605
0.073,7,13,8.8,0.33,0.41,0.99658
0.083,35,72,7.2,0.41,0.3,0.997
0.083,35,72,7.2,0.41,0.3,0.997
0.109,31,119,8.4,0.59,0.29,0.99801
0.061,9,29,7,0.4,0.32,0.99416
0.075,3,6,12.2,0.45,0.49,0.9969
0.065,8,17,9.1,0.5,0.3,0.99774
0.079,13,28,9.5,0.86,0.26,0.99712
0.07,51,70,7.3,0.52,0.32,0.99418
0.065,8,17,9.1,0.5,0.3,0.99774
0.075,3,6,12.2,0.45,0.49,0.9969
0.064,7,11,7.4,0.58,0,0.99562
0.066,3,7,9.8,0.34,0.39,0.9947
0.08,35,70,7.1,0.36,0.3,0.99693
0.097,19,27,7.7,0.39,0.12,0.99596
0.073,14,21,9.7,0.295,0.4,0.99556
0.097,19,27,7.7,0.39,0.12,0.99596
0.082,31,68,7.1,0.34,0.28,0.99694
0.076,30,47,6.5,0.4,0.1,0.99554
0.082,31,68,7.1,0.34,0.28,0.99694
0.092,20,88,10,0.35,0.45,0.99918
0.079,19,41,7.7,0.6,0.06,0.99697
0.087,3,11,5.6,0.66,0,0.99378
0.087,3,11,5.6,0.66,0,0.99378
0.05,4,10,8.9,0.84,0.34,0.99554
0.055,7,12,6.4,0.69,0,0.99162
0.062,6,12,7.5,0.43,0.3,0.99495
0.058,31,47,9.9,0.35,0.38,0.99676
0.063,13,27,9.1,0.29,0.33,0.99516
0.067,4,8,6.8,0.36,0.32,0.9928
0.081,27,45,8.2,0.43,0.29,0.99603
0.067,4,8,6.8,0.36,0.32,0.9928
0.063,13,27,9.1,0.29,0.33,0.99516
0.064,12,25,9.1,0.3,0.34,0.99516
0.11,12,24,8.9,0.35,0.4,0.99549
0.116,26,55,9.6,0.5,0.36,0.99722
0.067,7,12,8.9,0.28,0.45,0.99354
0.088,12,19,8.9,0.32,0.31,0.9957
0.102,11,32,7.7,1.005,0.15,0.99604
0.092,22,31,7.5,0.71,0,0.99635
0.12,3,7,8,0.58,0.16,0.99454
0.075,14,27,10.5,0.39,0.46,0.99598
0.068,12,28,8.9,0.38,0.4,0.99486
0.049,36,109,8,0.18,0.37,0.99007
0.049,36,109,8,0.18,0.37,0.99007
0.078,10,23,7,0.5,0.14,0.99636
0.123,3,8,11.3,0.36,0.66,0.99642
0.123,3,8,11.3,0.36,0.66,0.99642
0.062,4,9,7,0.51,0.09,0.99584
0.098,3,9,8.2,0.32,0.42,0.99506
0.088,12,18,7.7,0.58,0.01,0.99568
0.095,17,43,8.6,0.83,0,0.99822
0.066,14,36,7.9,0.31,0.32,0.99364
0.065,28,52,6.4,0.795,0,0.99378
0.075,41,68,7.2,0.34,0.21,0.99586
0.088,12,18,7.7,0.58,0.01,0.99568
0.091,9,14,7.1,0.59,0,0.99488
0.093,9,15,7.3,0.55,0.01,0.99514
0.095,5,14,8.1,0.82,0,0.99854
0.089,14,27,7.5,0.57,0.08,0.99592
0.077,15,48,8.9,0.745,0.18,0.99739
0.085,5,17,10.1,0.37,0.34,0.99683
0.082,26,35,7.6,0.31,0.34,0.99356
0.074,20,56,7.3,0.91,0.1,0.99672
0.078,25,42,8.7,0.41,0.41,0.9953
0.088,21,39,8.9,0.5,0.21,0.99692
0.088,16,32,7.4,0.965,0,0.99756
0.079,13,26,6.9,0.49,0.19,0.99547
0.088,21,39,8.9,0.5,0.21,0.99692
0.069,18,39,9.5,0.39,0.41,0.99859
0.046,12,53,6.4,0.39,0.33,0.99294
0.07,32,38,6.9,0.44,0,0.99438
0.076,33,45,7.6,0.78,0,0.99612
0.082,27,51,7.1,0.43,0.17,0.99634
0.081,3,14,9.3,0.49,0.36,0.99702
0.084,6,17,9.3,0.5,0.36,0.99704
0.082,27,51,7.1,0.43,0.17,0.99634
0.414,16,45,8.5,0.46,0.59,0.99702
0.073,19,25,5.6,0.605,0.05,0.99258
0.07,9,20,8.3,0.33,0.42,0.99426
0.095,5,77,8.2,0.64,0.27,0.99747
0.095,5,77,8.2,0.64,0.27,0.99747
0.101,3,10,8.9,0.48,0.53,0.99586
0.104,28,90,7.6,0.42,0.25,0.99784
0.093,30,52,9.9,0.53,0.57,0.9971
0.101,3,10,8.9,0.48,0.53,0.99586
0.074,3,8,11.6,0.23,0.57,0.9981
0.071,7,16,9.1,0.4,0.5,0.99462
0.098,6,15,8,0.38,0.44,0.9956
0.075,6,17,10.2,0.29,0.65,0.99565
0.067,5,10,8.2,0.74,0.09,0.99418
0.083,6,20,7.7,0.61,0.18,0.9963
